vets.gov-team File Name,vets.gov-team URL,Proposed va.gov-team File Name,Proposed va.gov-team URL,LFS
callcenter_appendix.md,https://github.com/department-of-veterans-affairs/vets.gov-team/blob/master/Practice Areas/Insights/Call Center/Archive/Call Center [2017]/callcenter_appendix.md,call-center-appendix.md,https://github.com/department-of-veterans-affairs/va.gov-team/tree/master/platform/call-center/call-center-appendix.md,
ProcessFlow.pdf,https://github.com/department-of-veterans-affairs/vets.gov-team/blob/master/Practice Areas/Insights/Call Center/Archive/Call Center [2017]/ProcessFlow.pdf,ProcessFlow.pdf,https://github.com/department-of-veterans-affairs/va.gov-team/tree/master/platform/call-center/ProcessFlow.pdf,yes
CallCenterandSecretarysHelpLine.md,https://github.com/department-of-veterans-affairs/vets.gov-team/blob/master/Practice Areas/Insights/Call Center/CallCenterandSecretarysHelpLine.md,call-center-secretarys-help-line.md,https://github.com/department-of-veterans-affairs/va.gov-team/tree/master/platform/call-center/call-center-secretarys-help-line.md,
downtime-error-messages.xlsx,https://github.com/department-of-veterans-affairs/vets.gov-team/blob/master/Practice Areas/Insights/Call Center/downtime-error-messages.xlsx,downtime-error-messages.xlsx,https://github.com/department-of-veterans-affairs/va.gov-team/tree/master/platform/call-center/downtime-error-messages.xlsx,yes
New Script Guide.docx,https://github.com/department-of-veterans-affairs/vets.gov-team/blob/master/Practice Areas/Insights/Call Center/New Script Guide.docx,New Script Guide.docx,https://github.com/department-of-veterans-affairs/va.gov-team/tree/master/platform/call-center/New Script Guide.docx,yes
New Features.md,https://github.com/department-of-veterans-affairs/vets.gov-team/blob/master/Practice Areas/Insights/Call Center/Processes/New Features.md,new-features.md,https://github.com/department-of-veterans-affairs/va.gov-team/tree/master/platform/call-center/new-features.md,
Ticket Triage and Customer Support-QA Workflow.md,https://github.com/department-of-veterans-affairs/vets.gov-team/blob/master/Practice Areas/Insights/Call Center/Processes/Ticket Triage and Customer Support-QA Workflow.md,ticket-triage-customer-support-qa-workflow.md,https://github.com/department-of-veterans-affairs/va.gov-team/tree/master/platform/call-center/ticket-triage-customer-support-qa-workflow.md,
