Official App Name,API Consumer,App Category,Device/Platform,Description,Website,Privacy Policy,Terms of Service,Sm Logo,Lg Logo
Apple Health,Apple,Health,iOS,"With the Apple Health app, you can see all your health records — such as medications, immunizations, lab results, and more — in one place. The Health app continually updates these records giving you access to a single, integrated snapshot of your health profile whenever you want, quickly and privately. All Health Records data is encrypted and protected with the user’s iPhone passcode, Touch ID or Face ID.",https://www.apple.com/ios/health/,"https://www.apple.com/legal/privacy/en-ww/

https://support.apple.com/en-us/HT209519",https://www.apple.com/legal/sla/,AppleHealth Logo 45x45.png,AppleHealth Logo 1024x1024.png
ClinicalTrialSelector,GirlsComputingLeague,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
iBlueButton,Humetrix,Health,"iOS, Android","iBlueButton places your VA medical information securely onto your phone or tablet, assembled into an interactive health record, with personalized safety warnings for severe drug interactions, opioids, chronic condition care guidelines, and information regarding and risk for severe COVID-19 infection. iBlueButton has been a VA Blue Button health partner since 2012 and is available to Veterans free of charge.",http://www.ibluebutton.com,https://ice.ibluebutton.com/docs/ibb/privacy_policy.html,https://ice.ibluebutton.com/docs/ibb/eula.html,iBlueButton Logo 45 x 45.png,iBlueButton Logo 1024 x 1024.png
MyLinks,MyPatientLink,Health,web browsers,"MyLinks is a free application that provides veterans with their own secure and complete personal health record fully under their control. Veterans can gather, aggregate, and share their health records from their VA and non-VA health care providers into one place. They can add other important documents and images, connect devices, and keep a journal. ",https://www.mylinks.com/,https://app.mylinks.com/privacypolicy,https://app.mylinks.com/termsofservice,MyLinks Logo 45x45.png,MyLinks Logo 1024x1024.png
