This page may be outdated. Go here for the content source of truth: https://github.com/department-of-veterans-affairs/vets-design-system-documentation/tree/main/src/_data/content/patterns/ask-users-for

section,subsection,pattern-or-component,label,label-text,hint-text,sub-questions,error-scenario-1,error-message-1,error-scenario-2,error-message-2,error-scenario-3,error-message-3,label-variations,notes-on-updates
/patterns,/ask-users-for,/phone-numbers,phone-number,Phone number,Enter a 10-digit phone number,,No entry,Enter a 10-digit phone number (with or without dashes),,,,,,"Removing ""please"" from error message. And removing ""Home"" before phone number to avoid any confusion that this needs to be a landline."
/patterns,/ask-users-for,/phone-numbers,mobile-phone-number,Mobile phone number,Enter a 10-digit phone number that can send and receive SMS (text messages),,,,,,,,,
