UNITID,PRGMOFR,CIPCODE1,XCIPTUI1,CIPTUIT1,XCIPSUP1,CIPSUPP1,XCIPLGT1,CIPLGTH1,PRGMSR1,XMTHCMP1,MTHCMP1,XWKCMP1,WKCMP1,XLNAYHR1,LNAYHR1,XLNAYWK1,LNAYWK1,XCHG1PY0,CHG1PY0,XCHG1PY1,CHG1PY1,XCHG1PY2,CHG1PY2,XCHG1PY3,CHG1PY3,XCHG4PY0,CHG4PY0,XCHG4PY1,CHG4PY1,XCHG4PY2,CHG4PY2,XCHG4PY3,CHG4PY3,XCHG5PY0,CHG5PY0,XCHG5PY1,CHG5PY1,XCHG5PY2,CHG5PY2,XCHG5PY3,CHG5PY3,XCHG6PY0,CHG6PY0,XCHG6PY1,CHG6PY1,XCHG6PY2,CHG6PY2,XCHG6PY3,CHG6PY3,XCHG7PY0,CHG7PY0,XCHG7PY1,CHG7PY1,XCHG7PY2,CHG7PY2,XCHG7PY3,CHG7PY3,XCHG8PY0,CHG8PY0,XCHG8PY1,CHG8PY1,XCHG8PY2,CHG8PY2,XCHG8PY3,CHG8PY3,XCHG9PY0,CHG9PY0,XCHG9PY1,CHG9PY1,XCHG9PY2,CHG9PY2,XCHG9PY3,CHG9PY3,CIPCODE2,XCIPTUI2,CIPTUIT2,XCIPSUP2,CIPSUPP2,XCIPLGT2,CIPLGTH2,PRGMSR2,XMTHCMP2,MTHCMP2,CIPCODE3,XCIPTUI3,CIPTUIT3,XCIPSUP3,CIPSUPP3,XCIPLGT3,CIPLGTH3,PRGMSR3,XMTHCMP3,MTHCMP3,CIPCODE4,XCIPTUI4,CIPTUIT4,XCIPSUP4,CIPSUPP4,XCIPLGT4,CIPLGTH4,PRGMSR4,XMTHCMP4,MTHCMP4,CIPCODE5,XCIPTUI5,CIPTUIT5,XCIPSUP5,CIPSUPP5,XCIPLGT5,CIPLGTH5,PRGMSR5,XMTHCMP5,MTHCMP5,CIPCODE6,XCIPTUI6,CIPTUIT6,XCIPSUP6,CIPSUPP6,XCIPLGT6,CIPLGTH6,PRGMSR6,XMTHCMP6,MTHCMP6 
418287,16,12.0401,A,.,A,.,R,1500,1,R,13,R,51,R,960,R,38,R,2667,R,2667,R,2740,R,3427,R,611,R,617,R,281,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,13502,R,14981,R,19189,R,19189,R,2066,R,1925,R,3251,R,3251,R,956,R,1148,R,1339,R,1339,51.3999,R,4500,R,0,R,1465,1,R,11,48.0508,R,2384,R,0,R,960,1,R,9,47.0604,R,2384,R,0,R,960,1,R,9,12.0503,R,2384,R,0,R,960,1,R,9,9.0702,R,2384,R,0,R,960,1,R,9
418296,19,51.3901,A,.,A,.,R,1463,1,R,12,R,48,R,1050,R,36,R,2639,R,2635,R,3000,R,3044,R,1554,R,1681,R,2580,R,2103,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,10944,R,11064,R,11460,R,11424,R,8604,R,9048,R,9000,R,9000,R,4056,R,4272,R,4260,R,4392,47.0604,R,1838,R,150,R,1050,1,R,10,10.0301,R,1838,R,150,R,1050,1,R,10,47.0603,R,1838,R,150,R,1050,1,R,10,46.0302,R,1838,R,150,R,1050,1,R,10,15.1302,R,1838,R,150,R,1050,1,R,10
418302,17,51.3901,A,.,A,.,R,1463,1,R,14,R,55,R,900,R,26,R,4836,R,4951,R,4449,R,5345,R,1596,R,1270,R,1544,R,1297,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,12746,R,12884,R,13324,R,13296,R,10024,R,10546,R,10478,R,10876,R,4648,R,4895,R,4978,R,5060,12.0401,R,3000,R,238,R,1500,1,R,15,50.0409,R,1680,R,52,R,840,1,R,10,11.0901,R,1860,R,148,R,930,1,R,10,51.0601,R,2100,R,385,R,1050,1,R,10,52.0402,R,1920,R,68,R,960,1,R,10
418320,28,43.0107,A,.,A,.,R,1035,1,R,10,R,38,R,900,R,26,R,1035,R,1035,R,1035,R,1035,R,150,R,150,R,150,R,150,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,9206,R,8341,R,8341,R,8341,R,2138,R,2109,R,2109,R,2109,R,1644,R,2109,R,2109,R,2109,12.0401,R,1000,R,150,R,1000,1,R,18,46.0302,R,900,R,150,R,900,1,R,10,47.0604,R,915,R,150,R,915,1,R,10,46.0201,R,1020,R,150,R,1020,1,R,10,48.0508,R,945,R,150,R,945,1,R,10
418339,12,51.3902,A,.,A,.,R,1050,1,R,12,R,48,R,900,R,26,R,1332,R,1819,R,1969,R,1750,R,745,R,745,R,745,R,595,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,9792,R,11064,R,11640,R,11616,R,4020,R,3420,R,3540,R,4692,R,1596,R,2964,R,2988,R,4416,52.0302,R,1600,R,230,R,1500,1,R,12,48.0508,R,1600,R,850,R,1050,1,R,12,47.0613,R,1600,R,100,R,1050,1,R,12,47.0604,R,1600,R,200,R,1050,1,R,12,12.0401,R,1600,R,665,R,1050,1,R,12
418348,49,47.0201,A,.,A,.,R,1050,1,R,11,R,44,R,900,R,26,R,1050,R,1350,R,1350,R,1350,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,10032,R,10142,R,10307,R,10472,R,7887,R,8294,R,8437,R,8569,R,3718,R,3916,R,3982,R,4048,51.3902,R,1080,A,.,R,496,1,R,6,43.0203,R,3865,R,335,R,840,1,R,6,10.0303,R,1215,A,.,R,1005,1,R,10,48.0508,R,1080,A,.,R,840,1,R,9,11.0901,R,1080,A,.,R,870,1,R,9
418357,16,51.3901,A,.,A,.,R,1463,1,R,16,R,64,R,900,R,36,R,4588,R,4696,R,4696,R,6809,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,8928,R,9648,R,10640,R,11360,R,1840,R,2000,R,2080,R,2288,R,2080,R,2256,R,2400,R,2608,51.3902,R,3961,R,0,R,1050,1,R,9,51.0909,R,4785,R,0,R,1185,1,R,9,47.0201,R,5012,R,0,R,1065,1,R,9,46.0201,R,5187,R,0,R,1050,1,R,9,47.0104,R,5062,R,0,R,1050,1,R,9
418384,3,12.0401,A,.,A,.,R,1500,1,R,13,R,52,R,900,R,30,R,18417,R,18417,R,18417,R,18400,R,180,R,216,R,270,R,2000,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,6396,R,6305,R,6721,R,8060,R,2678,R,3211,R,3250,R,3250,R,2652,R,2652,R,2925,R,3250,12.041,R,7600,R,2000,R,600,1,R,5,12.0413,R,12000,R,3335,R,1000,1,R,8,-2,A,.,A,.,A,.,-2,A,.,-2,A,.,A,.,A,.,-2,A,.,-2,A,.,A,.,A,.,-2,A,.
418409,41,51.3999,A,.,A,.,R,1540,1,R,11,R,44,R,1540,R,44,R,12423,R,12450,R,12750,R,12750,R,700,R,700,R,850,R,950,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,11000,R,11000,R,11000,R,11000,R,2750,R,2750,R,5720,R,5720,R,2750,R,2750,R,5720,R,5720,49.0205,R,4995,R,250,R,200,1,R,1,48.0508,R,12759,R,287,R,902,1,R,12,47.0604,R,9626,R,257,R,717,1,R,8,51.0801,R,12948,R,1557,R,1020,1,R,12,51.0707,R,9534,R,1202,R,800,1,R,9
418427,1,51.3901,A,.,A,.,R,1635,1,R,12,R,49,R,900,R,32,R,16185,R,17584,R,19749,R,20452,R,1175,R,1336,R,1370,R,1433,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,17824,R,17824,R,17824,R,17824,R,2989,R,2989,R,3393,R,3675,R,2989,R,2989,R,3393,R,3883,-2,A,.,A,.,A,.,-2,A,.,-2,A,.,A,.,A,.,-2,A,.,-2,A,.,A,.,A,.,-2,A,.,-2,A,.,A,.,A,.,-2,A,.,-2,A,.,A,.,A,.,-2,A,.
418445,1,51.3901,A,.,A,.,R,1506,1,R,12,R,48,R,900,R,30,R,12984,R,12984,R,13310,R,13800,R,506,R,506,R,680,R,700,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,6972,R,6972,R,9600,R,9600,R,4800,R,4800,R,4800,R,4800,R,4800,R,4800,R,4800,R,4800,-2,A,.,A,.,A,.,-2,A,.,-2,A,.,A,.,A,.,-2,A,.,-2,A,.,A,.,A,.,-2,A,.,-2,A,.,A,.,A,.,-2,A,.,-2,A,.,A,.,A,.,-2,A,.
